類別,名稱,地址,行政區,經度座標,緯度座標,裝置容量-瓩
學校,臺北市富安國民小學,111臺北市士林區延平北路8段135號,士林區,121.4824,25.10587,94.4
學校,臺北市松山高級商業家事職業學校,110臺北市信義區松山路655號,信義區,121.5805,25.03502,95.16
學校,臺北市民權國民小學,105臺北市松山區民權東路4段200號,松山區,121.5623,25.06239,95.58
學校,臺北市興華國民小學,116臺北市文山區興隆路3段125巷6號,文山區,121.5587,24.99883,97.6
學校,臺北市建安國民小學,106臺北市大安區大安路2段99號,大安區,121.5462,25.02936,99.12
學校,臺北市士林高級職業學校,111臺北市士林區士商路150號,士林區,121.5166,25.0946,99.71
學校,臺北市興隆國民小學,116臺北市文山區福興路2號,文山區,121.5519,25.00248,99.71
學校,臺北市南港國民小學,115臺北市南港區惠民街67號,南港區,121.6101,25.05745,107.88
學校,臺北市育成高級中學,115臺北市南港區重陽路366號,南港區,121.6093,25.0586,111.6
學校,臺北市雙蓮國民小學,103臺北市大同區錦西街51號,大同區,121.5163,25.06027,113.28
學校,臺北市公館國民小學,106臺北市大安區基隆路4段41巷68弄2號,大安區,121.5428,25.0124,113.28
學校,臺北市新民國民中學,112臺北市北投區新民路10號,北投區,121.5076,25.1381,124.44
學校,臺北市南門國民中學,100臺北市中正區廣州街6號,中正區,121.5091,25.03527,127.44
學校,臺北市中崙高級中學,105臺北市松山區八德路4段101號,松山區,121.5612,25.04872,130.2
學校,臺北市松山高級工農職業學校,110臺北市信義區忠孝東路5段236巷15號,信義區,121.5721,25.03963,133.92
學校,臺北市文林國民小學,112臺北市北投區文林北路155號,北投區,121.5148,25.10591,133.92
學校,臺北市新興國民中學,104臺北市中山區林森北路511號,中山區,121.5258,25.06198,141.6
學校,臺北市萬興國民小學,116臺北市文山區秀明路2段114號,文山區,121.5766,24.99043,146.4
學校,臺北市興雅國民中學,110臺北市信義區松德路168巷15號,信義區,121.5722,25.03642,148.8
學校,臺北市大學附設實驗國民小學,100臺北市中正區公園路29號,中正區,121.5152,25.03607,155.76
學校,臺北市中山女子高級中學,104臺北市中山區長安東路2段141號,中山區,121.5372,25.04851,155.76
學校,臺北市立芳和實驗國民中學,106臺北市大安區臥龍街170號,大安區,121.5503,25.01875,169.92
學校,臺北市信義國民小學,110臺北市信義區松勤街60號,信義區,121.5632,25.03157,169.92
學校,臺北市福安國民中學,111臺北市士林區延平北路7段250號,士林區,121.4881,25.10285,169.92
學校,臺北市南湖高級中學,114臺北市內湖區康寧路3段220號,內湖區,121.6105,25.06646,169.92
學校,臺北市實踐國民中學,116臺北市文山區辛亥路7段67號,文山區,121.5548,24.98343,169.92
學校,臺北市西園國民小學,108臺北市萬華區東園街73巷65號,萬華區,121.4983,25.02711,186
學校,臺北市新湖國民小學,114臺北市內湖區民權東路6段138號,內湖區,121.5885,25.06823,198.24
學校,臺北市中正國民中學,100臺北市中正區愛國東路158號,中正區,121.522,25.03236,202.74
學校,臺北市桃源國民小學,112臺北市北投區中央北路3段40巷45號,北投區,121.4845,25.1397,212.4
學校,臺北市敦化國民中學,105臺北市松山區南京東路3段300號,松山區,121.5467,25.05157,226.56
學校,臺北市辛亥國民小學,116臺北市文山區辛亥路4段103號,文山區,121.5592,25.00643,234.24
學校,臺北市文湖國民小學,114臺北市內湖區文湖街15號,內湖區,121.5601,25.08574,240.72
學校,臺北市西湖國民中學,114臺北市內湖區環山路1段27號,內湖區,121.5658,25.08518,240.72
學校,臺北市成德國民中學,115臺北市南港區東新街108巷23號,南港區,121.5877,25.04502,252.96
學校,臺北市大安國民小學,106臺北市大安區臥龍街129號,大安區,121.5504,25.01893,254.88
學校,臺北市大理高級中學,108臺北市萬華區長順街2號,萬華區,121.4912,25.03086,254.88
學校,臺北市蘭雅國民小學,111臺北市士林區磺溪街57號,士林區,121.5231,25.10842,254.88
學校,臺北市三民國民中學,114臺北市內湖區民權東路6段45號,內湖區,121.5864,25.06915,254.88
學校,臺北市西松高級中學,105臺北市松山區健康路325巷7號,松山區,121.5671,25.05555,261.96
學校,臺北市啟明學校,111臺北市士林區忠誠路2段207巷1號,士林區,121.535,25.1167,290.16
學校,臺北市松山高級中學,110臺北市信義區基隆路1段156號,信義區,121.5654,25.0435,297.36
學校,臺北市萬華國民中學,108臺北市萬華區西藏路201號,萬華區,121.4988,25.02911,300.12
學校,臺北市天母國民中學,111臺北市士林區天母東路120號,士林區,121.5382,25.11807,424.8
學校,臺北市大同高級中學,104臺北市中山區長春路167號,中山區,121.5353,25.05502,446.52
