類別,名稱,地址,經度座標,緯度座標,裝置容量-瓩,行政區
國有房地,國立臺灣大學,臺北市中正區常德街1號,121.517217,25.0419853,336.0,中正區
國有房地,國立臺灣科技大學,臺北市大安區辛亥段五小段0219-0000地號,121.5569625,25.0053806,18.9,大安區
國有房地,國立臺灣科技大學,臺北市大安區基隆路4段43號,121.5405609,25.0132583,215.635,大安區
國有房地,國立臺灣科技大學,臺北市大安區基隆路4段43號,121.5405609,25.0132583,256.81,大安區
國有房地,國立臺灣師範大學,臺北市大安區和平東路1段129之1號,121.5293396,25.0273368,108.225,大安區
國有房地,國立臺灣師範大學,臺北市大安區和平東路1段127號,121.5275484,25.0261656,216.45,大安區
國有房地,國立臺灣師範大學附屬高級中學,臺北市大安區信義路三段143號,121.540488,25.0336585,472.96,大安區
國有房地,國立臺灣戲曲學院,臺北市文山區木柵路3段66巷8之1號,121.566702,24.9866233,228.0,文山區
國有房地,國家圖書館,臺北市中正區中山南路20號,121.5166448,25.0373347,168.0,中正區
國有房地,經濟部中小企業處南港生技育成中心,臺北市南港區園區街3之1號（經濟部中小企業處南港生技育成中心）,121.6118825,25.0584861,90.72,南港區
國有房地,經濟部中小企業處南港生技育成中心,臺北市南港區園區街3之2號,121.6118825,25.0584861,124.74,南港區
國有房地,臺灣電力股份有限公司,臺北市中正區羅斯福路3段242號,121.5310058,25.0175108,20.16,中正區
國有房地,國防醫學院三軍總醫院,臺北市內湖區成功路2段325號(國防醫學院三軍總醫院內湖院區),121.5924389,25.0718701,1622.88,內湖區
國有房地,國立臺灣科技大學,臺北市大安區基隆路4段43號,121.5405,25.0133,19.47,大安區
國有房地,中央研究院,臺北市南港區研究院路二段128號,121.6118,25.0411,8.04,南港區
國有房地,國立臺北藝術大學,臺北市北投區學園路1號,121.4667,25.1321,58.5,北投區
國有房地,國立臺北藝術大學,臺北市北投區學園路1號,121.4667,25.1321,62.4,北投區
國有房地,國立臺北藝術大學,臺北市北投區學園路1號,121.4667,25.1321,68.25,北投區
國有房地,國立臺北護理健康大學,臺北市北投區明德路365號,121.5211,25.1185,158.4,北投區
國有房地,國立臺北護理健康大學,臺北市北投區明德路365號,121.5211,25.1185,15.84,北投區
國有房地,國立臺北護理健康大學,臺北市北投區明德路365號,121.5211,25.1185,25.08,北投區
國有房地,國立臺灣大學,臺北市大安區羅斯福路四段1號,121.5351,25.0168,9.92,大安區
機關,臺北捷運北投機廠,臺北市北投區桃源里9鄰大業路527巷88號,121.4838069,25.1345465,3797.28,北投區
機關,長興淨水廠,臺北市大安區學府里9鄰長興街131號,121.5476408,25.0145256,2136.96,大安區
機關,福德坑環保復育公園,臺北市文山區博嘉里1鄰木柵路五段151號,121.5938041,24.9989605,1996.8,文山區
