類別,名稱,地址,經度座標,緯度座標,裝置容量-瓩,行政區
學校,臺北市中山國民小學,104臺北市中山區民權東路一段69號,121.5264,25.06305,97.5,中山區
學校,臺北市雨聲國民小學,111台北市士林區至誠路一段62巷70號,121.5353,25.10266,99.775,士林區
學校,臺北市信義區光復國民小學,110臺北市信義區光復南路271號,121.5578014,25.0401432,99.775,信義區
學校,臺北市蘭州國民中學,103台北市大同區大龍街187巷1號,121.5167,25.06932,495.3,大同區
學校,臺北市松山區西松國民小學,臺北市松山區三民路5號,121.5628868,25.05294327,95.225,松山區
學校,臺北市博嘉實驗國民小學,臺北市文山區木柵路4段159巷14之1號,121.5757911,25.00196588,99.45,文山區
學校,臺北市文山區景美國民小學,臺北市文山區景文街108號、142巷2號,121.5407,24.9895,152.1,文山區
學校,臺北市立仁愛國民中學,臺北市大安區仁愛路4段130號,121.5508,25.0374,37.7,大安區
,,,,,,
,,,,,,
