,面積,行政區,地址,latlng,color,radius
56,1624.0,內湖區 ,臺北市內湖區康寧段三段11巷,"[121.6094778, 25.0757493]",#6d4900,22.736210219877808
57,1487.0,文山區 ,臺北市文山區木柵路一段238巷,"[121.5538545, 24.9878359]",#634e00,21.756075031018273
58,61.0,中正區 ,台北市中正區信義路二段79巷,"[121.5269364, 25.0355264]",#027f00,4.406461512053774
59,330.68,內湖區 ,臺北市內湖區大湖街158巷,"[121.5995531, 25.0830965]",#147600,10.2595669091466
60,187.0,內湖區 ,臺北市內湖區港華里19鄰環山 路二段,"[121.571228, 25.086387]",#0a7b00,7.715176518808164
61,103.37,內湖區 ,臺北市內湖區內湖路二段179巷,"[121.5852085, 25.0842883]",#057d00,5.736174067688188
62,33.48,萬華區 ,台北市萬華區萬大路329巷,"[121.5008029, 25.0237982]",#008000,3.264508384034771
63,1198.8,士林區 ,台北市士林區小西街 ,"[121.5235956, 25.090436]",#505800,19.53432598164391
64,82.08,士林區 ,臺北市士林區中山北路六段,"[121.5255956, 25.1105466]",#037e00,5.111445535067897
65,428.44,北投區 ,臺北市北投區永興路一段53巷,"[121.5004496, 25.1397769]",#1b7200,11.678042971173864
66,1066.5,大同區 ,臺北市大同區大龍街 ,"[121.515889, 25.0678984]",#475c00,18.42491502327793
67,112.18,中山區 ,台北市中山區長安東路一段30 巷,"[121.5262291, 25.0482695]",#057d00,5.97561737664801
68,68.88,大同區 ,臺北市大同區延平北路三段,"[121.5110308, 25.0656126]",#027f00,4.68243365786847
69,27.01,內湖區 ,臺北市內湖區成功路二段 ,"[121.5907875, 25.0684735]",#008000,2.9321579128389703
70,336.49,北投區 ,台北市北投區東華街二段300巷,"[121.5058202, 25.1218931]",#157500,10.349304015342467
71,1523.39,中山區 ,臺北市中山區松江路90巷,"[121.5314678, 25.0505078]",#664d00,22.02067432013663
72,63.0,中山區 ,臺北市中山區長安東路一段30 巷3弄,"[121.526748, 25.047718]",#027f00,4.478115991081385
73,241.74,中正區 ,臺北市中正區紹興北街31巷,"[121.5258906, 25.0451591]",#0e7900,8.772014129381551
74,977.51,中山區 ,台北市中山區長安東路二段,"[121.5369391, 25.0484123]",#406000,17.639475526316456
75,385.31,信義區 ,台北市信義區基隆路一段 ,"[121.5646732, 25.0412305]",#187400,11.074654949273878
76,3774.27,中山區 ,台北市中山區中山北路二段,"[121.5227773, 25.058131]",#ff0000,34.66103654143793
77,149.94,中山區 ,台北市中山區民權東路二段92 巷1弄,"[121.5317193, 25.06156]",#087c00,6.908500874603519
78,200.67,北投區 ,臺北市北投區大屯路 ,"[121.5006553, 25.1434658]",#0b7a00,7.992199000306567
79,324.0,士林區 ,台北市士林區中山北路六段290 巷7弄,"[121.5266622, 25.1102733]",#147600,10.155412503859614
80,543.03,士林區 ,臺北市士林區文昌路 ,"[121.5205909, 25.0977855]",#236e00,13.147312177566327
81,198.46,松山區 ,臺北市松山區南京東路五段291 巷20弄,"[121.5656999, 25.0524259]",#0b7a00,7.948067690453769
82,380.54,士林區 ,台北市士林區仰德大道一段6巷,"[121.5383203, 25.0997075]",#187400,11.005891335479363
83,1187.0,中正區 ,臺北市中正區新生南路一段,"[121.532767, 25.0390034]",#4f5800,19.437948320235847
84,1350.0,士林區 ,臺北市士林區福林路 ,"[121.53292, 25.0969684]",#5a5300,20.72964896828013
85,1341.0,松山區 ,臺北市松山區敦化南路一段,"[121.5491423, 25.0460946]",#595300,20.66043458817997
86,580.22,文山區 ,臺北市文山區試院路5巷,"[121.5480643, 24.9887166]",#256d00,13.590061153709318
87,261.0,大同區 ,台北市大同區迪化街二段146巷,"[121.5094723, 25.067578]",#0f7800,9.114761669619748
88,1883.0,信義區 ,台北市信義區富陽街55巷,"[121.5574472, 25.0225655]",#7e4100,24.4821877225888
89,179.0,北投區 ,臺北市北投區清江路91巷,"[121.502661, 25.1299485]",#0a7b00,7.54834217738561
90,592.0,大同區 ,台北市大同區寧夏路 ,"[121.5152712, 25.0579544]",#266d00,13.727325035155395
91,409.0,萬華區 ,臺北市萬華區內江街 ,"[121.5035409, 25.0415994]",#1a7300,11.410028196686037
