面積,行政區,地址,latlng
385.31,信義區 ,台北市信義區基隆路一段 ,"[121.5646732, 25.0412305]"
3774.27,中山區 ,台北市中山區中山北路二段,"[121.5227773, 25.058131]"
149.94,中山區 ,台北市中山區民權東路二段92 巷1弄,"[121.5317193, 25.06156]"
200.67,北投區 ,臺北市北投區大屯路 ,"[121.5006553, 25.1434658]"
324.0,士林區 ,台北市士林區中山北路六段290 巷7弄,"[121.5266622, 25.1102733]"
543.03,士林區 ,臺北市士林區文昌路 ,"[121.5205909, 25.0977855]"
198.46,松山區 ,臺北市松山區南京東路五段291 巷20弄,"[121.5656999, 25.0524259]"
380.54,士林區 ,台北市士林區仰德大道一段6巷,"[121.5383203, 25.0997075]"
1187.0,中正區 ,臺北市中正區新生南路一段,"[121.532767, 25.0390034]"
1350.0,士林區 ,臺北市士林區福林路 ,"[121.53292, 25.0969684]"
1341.0,松山區 ,臺北市松山區敦化南路一段,"[121.5491423, 25.0460946]"
580.22,文山區 ,臺北市文山區試院路5巷,"[121.5480643, 24.9887166]"
261.0,大同區 ,台北市大同區迪化街二段146巷,"[121.5094723, 25.067578]"
1883.0,信義區 ,台北市信義區富陽街55巷,"[121.5574472, 25.0225655]"
179.0,北投區 ,臺北市北投區清江路91巷,"[121.502661, 25.1299485]"
592.0,大同區 ,台北市大同區寧夏路 ,"[121.5152712, 25.0579544]"
409.0,萬華區 ,臺北市萬華區內江街 ,"[121.5035409, 25.0415994]"
164.0,大安區 ,臺北市大安區金山南路二段185 巷,"[121.5274236, 25.0283306]"
568.0,萬華區 ,臺北市萬華區西園路二段 ,"[121.49519, 25.0282005]"
213.6,中山區 ,台北市中山區安東街 ,"[121.5421743, 25.0454526]"
283.0,士林區 ,臺北市士林區通河東街一段,"[121.5161459, 25.0849055]"
1022.0,中正區 ,臺北市中正區廈門街147巷,"[121.5190169, 25.02167]"
381.0,中正區 ,臺北市中正區羅斯福路三段240 巷,"[121.5298376, 25.0176051]"
505.0,松山區 ,臺北市信義區光復南路46巷,"[121.557559, 25.0462347]"
648.0,中正區 ,臺北市中正區漢口街一段 ,"[121.5120827, 25.0451748]"
202.0,中正區 ,臺北市中正區南昌路二段 ,"[121.5219207, 25.026157]"
372.0,北投區 ,臺北市北投區翠嶺路 ,"[121.5067207, 25.1427502]"
532.0,大安區 ,臺北市大安區復興南路一段135 巷,"[121.5452269, 25.0425846]"
275.0,中正區 ,臺北市中正區杭州南路二段,"[121.5224602, 25.0318036]"
674.0,中正區 ,臺北市中正區新生南路一段132 巷,"[121.5318946, 25.0370197]"
1150.0,文山區 ,臺北市文山區興德路 ,"[121.5571627, 25.0032237]"
386.33,士林區 ,臺北市士林區中庸一路14巷12 弄,"[121.5478968, 25.1335553]"
509.27,士林區 ,臺北市士林區中山北路七段14 巷,"[121.5333661, 25.1199089]"
397.0,大同區 ,臺北市大同區民權西路245巷,"[121.5103613, 25.0639042]"
1056.0,大同區 ,臺北市大同區重慶北路二段,"[121.5137056, 25.0588131]"
1122.0,中正區 ,臺北市中正區信義路二段 ,"[121.5285039, 25.033835]"
231.0,松山區 ,臺北市松山區南京東路五段291巷29弄,"[121.5669135, 25.0528445]"
676.0,萬華區 ,臺北市萬華區貴陽街二段,"[121.5027651, 25.0400228]"
431.0,信義區 ,臺北市信義區景雲街 ,"[121.5754039, 25.0184221]"
916.0,士林區 ,臺北市士林區中山北路六段186 巷,"[121.5255472, 25.1077218]"
278.53,文山區 ,臺北市文山區興隆路四段1巷,"[121.5601691, 24.9916509]"
332.74,中正區 ,臺北市中正區南陽街 ,"[121.5161215, 25.0450971]"
