類別,名稱,地址,經度座標,緯度座標,裝置容量-瓩
國有房地,國防部軍備局,臺北市南港區新光里15鄰昆陽街165號,121.5933552,25.0498035,99.6
國有房地,國防部軍備局,臺北市南港區新光里15鄰昆陽街165號,121.5933552,25.0498035,99.6
國有房地,國防部軍備局,臺北市南港區新光里15鄰昆陽街165號,121.5933552,25.0498035,99.6
國有房地,國家文官學院,臺北市南港區中南里10鄰忠孝東路七段574號,121.6139468,25.0526494,169.2
國有房地,國立臺灣大學,臺北市大安區學府里6鄰基隆路三段155巷50號,121.5442732,25.0133415,180
國有房地,國立臺北教育大學,臺北市大安區臥龍里1鄰和平東路二段134號,121.5462911,25.0245572,230.58
國有房地,國立臺北護理健康大學,臺北市北投區振華里11鄰明德路365號,121.5210206,25.1185042,339.84
國有房地,中央研究院,臺北市南港區研究院路2段128號,121.6121003,25.0426284,186.6
國有房地,中華電信股份有限公司,臺北市中正區信義路一段21之3號,121.5235042,25.0362036,4.32
國有房地,中華電信股份有限公司,臺北市中正區信義路一段21之3號,121.5235042,25.0362036,10
國有房地,中華電信股份有限公司,臺北市中正區信義路一段21之3號,121.5235042,25.0362036,15.75
國有房地,台灣中油股份有限公司,臺北市文山區興隆路1段13號,121.5394661,25.0044969,10.5
國有房地,國立陽明交通大學,臺北市北投區立農街2段155號,121.5143859,25.1195749,42.24
國有房地,國立陽明交通大學,臺北市北投區立農街2段155號,121.5143859,25.1195749,69.12
國有房地,國立陽明交通大學,臺北市北投區立農街2段155號,121.5143859,25.1195749,96
國有房地,國立陽明交通大學,臺北市北投區立農街2段155號,121.5143859,25.1195749,106.88
國有房地,國立陽明交通大學,臺北市北投區立農街2段155號,121.5143859,25.1195749,115.2
國有房地,國立臺北大學,臺北市中山區民生東路3段67號,121.5423856,25.0580395,184.32
國有房地,國立臺灣大學,臺北市中正區常德街1號,121.517217,25.0419853,336
國有房地,國立臺灣科技大學,臺北市大安區辛亥段五小段0219-0000地號,121.5569625,25.0053806,18.9
國有房地,國立臺灣科技大學,臺北市大安區基隆路4段43號,121.5405609,25.0132583,215.635
國有房地,國立臺灣科技大學,臺北市大安區基隆路4段43號,121.5405609,25.0132583,256.81
國有房地,國立臺灣師範大學,臺北市大安區和平東路1段129之1號,121.5293396,25.0273368,108.225
國有房地,國立臺灣師範大學,臺北市大安區和平東路1段127號,121.5275484,25.0261656,216.45
國有房地,國立臺灣師範大學附屬高級中學,臺北市大安區信義路三段143號,121.540488,25.0336585,472.96
國有房地,國立臺灣戲曲學院,臺北市文山區木柵路3段66巷8之1號,121.566702,24.9866233,228
國有房地,國家圖書館,臺北市中正區中山南路20號,121.5166448,25.0373347,168
國有房地,經濟部中小企業處南港生技育成中心,臺北市南港區園區街3之1號（經濟部中小企業處南港生技育成中心）,121.6118825,25.0584861,90.72
國有房地,經濟部中小企業處南港生技育成中心,臺北市南港區園區街3之2號,121.6118825,25.0584861,124.74
國有房地,臺灣電力股份有限公司,臺北市中正區羅斯福路3段242號,121.5310058,25.0175108,20.16
國有房地,國防醫學院三軍總醫院,臺北市內湖區成功路2段325號(國防醫學院三軍總醫院內湖院區),121.5924389,25.0718701,1622.88
國有房地,國立臺灣科技大學,臺北市大安區基隆路4段43號,121.5405,25.0133,19.47
國有房地,中央研究院,臺北市南港區研究院路二段128號,121.6118,25.0411,8.04
國有房地,國立臺北藝術大學,臺北市北投區學園路1號,121.4667,25.1321,58.5
國有房地,國立臺北藝術大學,臺北市北投區學園路1號,121.4667,25.1321,62.4
國有房地,國立臺北藝術大學,臺北市北投區學園路1號,121.4667,25.1321,68.25
國有房地,國立臺北護理健康大學,臺北市北投區明德路365號,121.5211,25.1185,158.4
國有房地,國立臺北護理健康大學,臺北市北投區明德路365號,121.5211,25.1185,15.84
國有房地,國立臺北護理健康大學,臺北市北投區明德路365號,121.5211,25.1185,25.08
國有房地,國立臺灣大學,臺北市大安區羅斯福路四段1號,121.5351,25.0168,9.92
